Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Chris Rhodes (10001),Chris Rhodes,10001,QB,5200,BUF@KC 2026-09-20T17:00:00Z,BUF,10.1
RB,Amari Brooks (10002),Amari Brooks,10002,RB,6300,BUF@KC 2026-09-20T17:00:00Z,BUF,14.3
RB,Cam Nash (10003),Cam Nash,10003,RB,4200,BUF@KC 2026-09-20T17:00:00Z,BUF,6.0
WR,Nico Sutton (10004),Nico Sutton,10004,WR,5500,BUF@KC 2026-09-20T17:00:00Z,BUF,11.1
WR,Darius Bowers (10005),Darius Bowers,10005,WR,4700,BUF@KC 2026-09-20T17:00:00Z,BUF,8.0
WR,Chris Bowers (10006),Chris Bowers,10006,WR,4300,BUF@KC 2026-09-20T17:00:00Z,BUF,6.5
TE,Jordan Keene (10007),Jordan Keene,10007,TE,4500,BUF@KC 2026-09-20T17:00:00Z,BUF,7.4
QB,Rome Rhodes (10008),Rome Rhodes,10008,QB,5200,BUF@KC 2026-09-20T17:00:00Z,KC,10.1
RB,Malik Bryant (10009),Malik Bryant,10009,RB,6400,BUF@KC 2026-09-20T17:00:00Z,KC,14.7
RB,Jordan Brooks (10010),Jordan Brooks,10010,RB,4400,BUF@KC 2026-09-20T17:00:00Z,KC,6.9
WR,Tyler Coleman (10011),Tyler Coleman,10011,WR,5200,BUF@KC 2026-09-20T17:00:00Z,KC,9.8
WR,Cam Mitchell (10012),Cam Mitchell,10012,WR,4600,BUF@KC 2026-09-20T17:00:00Z,KC,7.8
WR,Malik Reeves (10013),Malik Reeves,10013,WR,4200,BUF@KC 2026-09-20T17:00:00Z,KC,6.1
TE,Chris Coleman (10014),Chris Coleman,10014,TE,4300,BUF@KC 2026-09-20T17:00:00Z,KC,6.5
DST,Kansas City Chiefs (10015),Kansas City Chiefs,10015,DST,3400,BUF@KC 2026-09-20T17:00:00Z,KC,7.0
DST,Buffalo Bills (10016),Buffalo Bills,10016,DST,3300,BUF@KC 2026-09-20T17:00:00Z,BUF,7.0
QB,Nico Vance (10017),Nico Vance,10017,QB,5300,DAL@PHI 2026-09-20T17:00:00Z,DAL,10.4
RB,Chris Vance (10018),Chris Vance,10018,RB,6500,DAL@PHI 2026-09-20T17:00:00Z,DAL,15.0
RB,Jaxon Pierce (10019),Jaxon Pierce,10019,RB,4500,DAL@PHI 2026-09-20T17:00:00Z,DAL,7.2
WR,Elijah Vance (10020),Elijah Vance,10020,WR,5400,DAL@PHI 2026-09-20T17:00:00Z,DAL,10.9
WR,Elijah Foster (10021),Elijah Foster,10021,WR,4800,DAL@PHI 2026-09-20T17:00:00Z,DAL,8.3
WR,Malik Coleman (10022),Malik Coleman,10022,WR,4200,DAL@PHI 2026-09-20T17:00:00Z,DAL,6.3
TE,Malik Grant (10023),Malik Grant,10023,TE,4400,DAL@PHI 2026-09-20T17:00:00Z,DAL,7.1
QB,Bijan Vance (10024),Bijan Vance,10024,QB,5200,DAL@PHI 2026-09-20T17:00:00Z,PHI,10.0
RB,Darius Dawson (10025),Darius Dawson,10025,RB,6800,DAL@PHI 2026-09-20T17:00:00Z,PHI,16.3
RB,Marcus Carter (10026),Marcus Carter,10026,RB,4200,DAL@PHI 2026-09-20T17:00:00Z,PHI,6.1
WR,Xavier Sutton (10027),Xavier Sutton,10027,WR,5300,DAL@PHI 2026-09-20T17:00:00Z,PHI,10.5
WR,Garrett Carter (10028),Garrett Carter,10028,WR,4600,DAL@PHI 2026-09-20T17:00:00Z,PHI,7.8
WR,Nico Wells (10029),Nico Wells,10029,WR,4200,DAL@PHI 2026-09-20T17:00:00Z,PHI,6.1
TE,Darius Ellis (10030),Darius Ellis,10030,TE,4300,DAL@PHI 2026-09-20T17:00:00Z,PHI,6.7
DST,Philadelphia Eagles (10031),Philadelphia Eagles,10031,DST,3000,DAL@PHI 2026-09-20T17:00:00Z,PHI,7.0
DST,Dallas Cowboys (10032),Dallas Cowboys,10032,DST,3300,DAL@PHI 2026-09-20T17:00:00Z,DAL,7.0
QB,Trey Keene (10033),Trey Keene,10033,QB,5100,SEA@SF 2026-09-20T17:00:00Z,SEA,9.7
RB,Tyler Pierce (10034),Tyler Pierce,10034,RB,6200,SEA@SF 2026-09-20T17:00:00Z,SEA,14.0
RB,Rome Sutton (10035),Rome Sutton,10035,RB,4200,SEA@SF 2026-09-20T17:00:00Z,SEA,6.1
WR,Rome Keene (10036),Rome Keene,10036,WR,5200,SEA@SF 2026-09-20T17:00:00Z,SEA,10.1
WR,Marcus Foster (10037),Marcus Foster,10037,WR,4600,SEA@SF 2026-09-20T17:00:00Z,SEA,7.7
WR,Malik Ellis (10038),Malik Ellis,10038,WR,4100,SEA@SF 2026-09-20T17:00:00Z,SEA,5.9
TE,Chris Reeves (10039),Chris Reeves,10039,TE,4400,SEA@SF 2026-09-20T17:00:00Z,SEA,6.9
QB,Jaxon Mitchell (10040),Jaxon Mitchell,10040,QB,5300,SEA@SF 2026-09-20T17:00:00Z,SF,10.4
RB,Xavier Hayes (10041),Xavier Hayes,10041,RB,6100,SEA@SF 2026-09-20T17:00:00Z,SF,13.4
RB,Isaiah Vance (10042),Isaiah Vance,10042,RB,3900,SEA@SF 2026-09-20T17:00:00Z,SF,5.0
WR,Rome Brooks (10043),Rome Brooks,10043,WR,5300,SEA@SF 2026-09-20T17:00:00Z,SF,10.3
WR,Trey Lang (10044),Trey Lang,10044,WR,4800,SEA@SF 2026-09-20T17:00:00Z,SF,8.4
WR,Brandon Wells (10045),Brandon Wells,10045,WR,4200,SEA@SF 2026-09-20T17:00:00Z,SF,6.0
TE,Devon Hayes (10046),Devon Hayes,10046,TE,4400,SEA@SF 2026-09-20T17:00:00Z,SF,6.8
DST,San Francisco 49ers (10047),San Francisco 49ers,10047,DST,3300,SEA@SF 2026-09-20T17:00:00Z,SF,7.0
DST,Seattle Seahawks (10048),Seattle Seahawks,10048,DST,3300,SEA@SF 2026-09-20T17:00:00Z,SEA,7.0
QB,Cam Hayes (10049),Cam Hayes,10049,QB,5200,CIN@BAL 2026-09-20T17:00:00Z,CIN,9.9
RB,Isaiah Wells (10050),Isaiah Wells,10050,RB,5900,CIN@BAL 2026-09-20T17:00:00Z,CIN,12.8
RB,Garrett Mitchell (10051),Garrett Mitchell,10051,RB,4400,CIN@BAL 2026-09-20T17:00:00Z,CIN,6.8
WR,Isaiah Pierce (10052),Isaiah Pierce,10052,WR,4900,CIN@BAL 2026-09-20T17:00:00Z,CIN,8.9
WR,Trey Brooks (10053),Trey Brooks,10053,WR,4400,CIN@BAL 2026-09-20T17:00:00Z,CIN,6.9
WR,Elijah Dawson (10054),Elijah Dawson,10054,WR,4000,CIN@BAL 2026-09-20T17:00:00Z,CIN,5.3
TE,Chris Brooks (10055),Chris Brooks,10055,TE,4200,CIN@BAL 2026-09-20T17:00:00Z,CIN,6.1
QB,Marcus Hayes (10056),Marcus Hayes,10056,QB,5500,CIN@BAL 2026-09-20T17:00:00Z,BAL,11.1
RB,Amari Lang (10057),Amari Lang,10057,RB,6900,CIN@BAL 2026-09-20T17:00:00Z,BAL,16.5
RB,Isaiah Dawson (10058),Isaiah Dawson,10058,RB,4300,CIN@BAL 2026-09-20T17:00:00Z,BAL,6.6
WR,Darius Brooks (10059),Darius Brooks,10059,WR,5500,CIN@BAL 2026-09-20T17:00:00Z,BAL,11.3
WR,Cam Keene (10060),Cam Keene,10060,WR,4900,CIN@BAL 2026-09-20T17:00:00Z,BAL,8.8
WR,Jalen Bryant (10061),Jalen Bryant,10061,WR,4400,CIN@BAL 2026-09-20T17:00:00Z,BAL,6.8
TE,Marcus Keene (10062),Marcus Keene,10062,TE,4500,CIN@BAL 2026-09-20T17:00:00Z,BAL,7.4
DST,Baltimore Ravens (10063),Baltimore Ravens,10063,DST,2900,CIN@BAL 2026-09-20T17:00:00Z,BAL,7.0
DST,Cincinnati Bengals (10064),Cincinnati Bengals,10064,DST,3500,CIN@BAL 2026-09-20T17:00:00Z,CIN,7.0
QB,Xavier Carter (10065),Xavier Carter,10065,QB,5300,GB@DET 2026-09-20T17:00:00Z,GB,10.3
RB,Jordan Ellis (10066),Jordan Ellis,10066,RB,5500,GB@DET 2026-09-20T17:00:00Z,GB,11.0
RB,Marcus Nash (10067),Marcus Nash,10067,RB,4300,GB@DET 2026-09-20T17:00:00Z,GB,6.5
WR,Tyler Ellis (10068),Tyler Ellis,10068,WR,4700,GB@DET 2026-09-20T17:00:00Z,GB,7.9
WR,Jalen Dawson (10069),Jalen Dawson,10069,WR,4200,GB@DET 2026-09-20T17:00:00Z,GB,6.1
WR,Nico Mitchell (10070),Nico Mitchell,10070,WR,3900,GB@DET 2026-09-20T17:00:00Z,GB,5.0
TE,Jalen Lang (10071),Jalen Lang,10071,TE,4000,GB@DET 2026-09-20T17:00:00Z,GB,5.5
QB,Bijan Reeves (10072),Bijan Reeves,10072,QB,5600,GB@DET 2026-09-20T17:00:00Z,DET,11.4
RB,Malik Sutton (10073),Malik Sutton,10073,RB,6100,GB@DET 2026-09-20T17:00:00Z,DET,13.4
RB,Jaxon Brooks (10074),Jaxon Brooks,10074,RB,4300,GB@DET 2026-09-20T17:00:00Z,DET,6.6
WR,Jaxon Hayes (10075),Jaxon Hayes,10075,WR,5500,GB@DET 2026-09-20T17:00:00Z,DET,11.2
WR,Jaxon Wells (10076),Jaxon Wells,10076,WR,4800,GB@DET 2026-09-20T17:00:00Z,DET,8.5
WR,Amari Mitchell (10077),Amari Mitchell,10077,WR,4200,GB@DET 2026-09-20T17:00:00Z,DET,6.1
TE,Darius Pierce (10078),Darius Pierce,10078,TE,4400,GB@DET 2026-09-20T17:00:00Z,DET,7.1
DST,Detroit Lions (10079),Detroit Lions,10079,DST,3100,GB@DET 2026-09-20T17:00:00Z,DET,7.0
DST,Green Bay Packers (10080),Green Bay Packers,10080,DST,2800,GB@DET 2026-09-20T17:00:00Z,GB,7.0
QB,Jalen Wells (10081),Jalen Wells,10081,QB,5300,NYJ@MIA 2026-09-20T17:00:00Z,NYJ,10.3
RB,Brandon Carter (10082),Brandon Carter,10082,RB,6400,NYJ@MIA 2026-09-20T17:00:00Z,NYJ,14.6
RB,Trey Ellis (10083),Trey Ellis,10083,RB,3900,NYJ@MIA 2026-09-20T17:00:00Z,NYJ,5.2
WR,Chris Dawson (10084),Chris Dawson,10084,WR,4700,NYJ@MIA 2026-09-20T17:00:00Z,NYJ,8.0
WR,Isaiah Hayes (10085),Isaiah Hayes,10085,WR,4200,NYJ@MIA 2026-09-20T17:00:00Z,NYJ,6.2
WR,Darius Wells (10086),Darius Wells,10086,WR,3900,NYJ@MIA 2026-09-20T17:00:00Z,NYJ,5.0
TE,Brandon Brooks (10087),Brandon Brooks,10087,TE,4000,NYJ@MIA 2026-09-20T17:00:00Z,NYJ,5.5
QB,Marcus Dawson (10088),Marcus Dawson,10088,QB,5600,NYJ@MIA 2026-09-20T17:00:00Z,MIA,11.4
RB,Elijah Carter (10089),Elijah Carter,10089,RB,7200,NYJ@MIA 2026-09-20T17:00:00Z,MIA,17.5
RB,Jaxon Carter (10090),Jaxon Carter,10090,RB,4200,NYJ@MIA 2026-09-20T17:00:00Z,MIA,6.2
WR,Jalen Ellis (10091),Jalen Ellis,10091,WR,5300,NYJ@MIA 2026-09-20T17:00:00Z,MIA,10.3
WR,Garrett Dawson (10092),Garrett Dawson,10092,WR,4600,NYJ@MIA 2026-09-20T17:00:00Z,MIA,7.9
WR,Brandon Reeves (10093),Brandon Reeves,10093,WR,4200,NYJ@MIA 2026-09-20T17:00:00Z,MIA,6.2
TE,Chris Carter (10094),Chris Carter,10094,TE,4500,NYJ@MIA 2026-09-20T17:00:00Z,MIA,7.1
DST,Miami Dolphins (10095),Miami Dolphins,10095,DST,2600,NYJ@MIA 2026-09-20T17:00:00Z,MIA,7.0
DST,New York Jets (10096),New York Jets,10096,DST,3900,NYJ@MIA 2026-09-20T17:00:00Z,NYJ,7.0
QB,Devon Vance (10097),Devon Vance,10097,QB,4900,IND@HOU 2026-09-20T20:25:00Z,IND,8.7
RB,Elijah Nash (10098),Elijah Nash,10098,RB,6000,IND@HOU 2026-09-20T20:25:00Z,IND,13.0
RB,Trey Bowers (10099),Trey Bowers,10099,RB,4300,IND@HOU 2026-09-20T20:25:00Z,IND,6.4
WR,Nico Carter (10100),Nico Carter,10100,WR,4500,IND@HOU 2026-09-20T20:25:00Z,IND,7.4
WR,Malik Carter (10101),Malik Carter,10101,WR,4100,IND@HOU 2026-09-20T20:25:00Z,IND,5.9
WR,Devon Nash (10102),Devon Nash,10102,WR,3900,IND@HOU 2026-09-20T20:25:00Z,IND,4.9
TE,Elijah Rhodes (10103),Elijah Rhodes,10103,TE,4000,IND@HOU 2026-09-20T20:25:00Z,IND,5.4
QB,Jalen Mitchell (10104),Jalen Mitchell,10104,QB,5700,IND@HOU 2026-09-20T20:25:00Z,HOU,12.0
RB,Brandon Nash (10105),Brandon Nash,10105,RB,6300,IND@HOU 2026-09-20T20:25:00Z,HOU,14.2
RB,Darius Hayes (10106),Darius Hayes,10106,RB,4200,IND@HOU 2026-09-20T20:25:00Z,HOU,6.0
WR,Devon Bowers (10107),Devon Bowers,10107,WR,5200,IND@HOU 2026-09-20T20:25:00Z,HOU,10.2
WR,Tyler Rhodes (10108),Tyler Rhodes,10108,WR,4700,IND@HOU 2026-09-20T20:25:00Z,HOU,8.2
WR,Chris Lang (10109),Chris Lang,10109,WR,4200,IND@HOU 2026-09-20T20:25:00Z,HOU,6.2
TE,Marcus Sutton (10110),Marcus Sutton,10110,TE,4500,IND@HOU 2026-09-20T20:25:00Z,HOU,7.2
DST,Houston Texans (10111),Houston Texans,10111,DST,3800,IND@HOU 2026-09-20T20:25:00Z,HOU,7.0
DST,Indianapolis Colts (10112),Indianapolis Colts,10112,DST,2300,IND@HOU 2026-09-20T20:25:00Z,IND,7.0
QB,Rome Ellis (10113),Rome Ellis,10113,QB,5400,ATL@LAR 2026-09-20T20:25:00Z,ATL,10.9
RB,Amari Pierce (10114),Amari Pierce,10114,RB,6900,ATL@LAR 2026-09-20T20:25:00Z,ATL,16.4
RB,Brandon Vance (10115),Brandon Vance,10115,RB,4600,ATL@LAR 2026-09-20T20:25:00Z,ATL,7.7
WR,Garrett Lang (10116),Garrett Lang,10116,WR,5300,ATL@LAR 2026-09-20T20:25:00Z,ATL,10.3
WR,Darius Keene (10117),Darius Keene,10117,WR,4700,ATL@LAR 2026-09-20T20:25:00Z,ATL,8.2
WR,Amari Coleman (10118),Amari Coleman,10118,WR,4200,ATL@LAR 2026-09-20T20:25:00Z,ATL,6.0
TE,Tyler Grant (10119),Tyler Grant,10119,TE,4400,ATL@LAR 2026-09-20T20:25:00Z,ATL,7.0
QB,Amari Foster (10120),Amari Foster,10120,QB,5100,ATL@LAR 2026-09-20T20:25:00Z,LAR,9.8
RB,Jordan Pierce (10121),Jordan Pierce,10121,RB,6600,ATL@LAR 2026-09-20T20:25:00Z,LAR,15.4
RB,Garrett Bowers (10122),Garrett Bowers,10122,RB,3900,ATL@LAR 2026-09-20T20:25:00Z,LAR,5.1
WR,Garrett Wells (10123),Garrett Wells,10123,WR,5200,ATL@LAR 2026-09-20T20:25:00Z,LAR,9.8
WR,Devon Pierce (10124),Devon Pierce,10124,WR,4600,ATL@LAR 2026-09-20T20:25:00Z,LAR,7.9
WR,Tyler Brooks (10125),Tyler Brooks,10125,WR,4100,ATL@LAR 2026-09-20T20:25:00Z,LAR,5.6
TE,Xavier Brooks (10126),Xavier Brooks,10126,TE,4400,ATL@LAR 2026-09-20T20:25:00Z,LAR,6.8
DST,Los Angeles Rams (10127),Los Angeles Rams,10127,DST,3200,ATL@LAR 2026-09-20T20:25:00Z,LAR,7.0
DST,Atlanta Falcons (10128),Atlanta Falcons,10128,DST,2200,ATL@LAR 2026-09-20T20:25:00Z,ATL,7.0
